application_id,application_date,loan_amount,interest_rate,annual_income,credit_score,employment_length,dti,num_delinquencies,previous_defaults,home_ownership,purpose,state,defaulted
f2c82f79-9369-4baa-934c-02da329ddca0,2024-05-17 23:35:12,29570.76,17.0,40642.04,686.0,22,18.73,0,0,MORTGAGE,debt_consolidation,PA,0
ccb11dba-e2c5-4802-adff-5a0cfee7995e,2023-12-07 19:35:48,9400.24,14.75,35359.72,613.0,11,9.82,0,0,RENT,major_purchase,TX,0
75cc7af9-94af-4fec-ad8a-16aa1901eedd,2022-08-05 02:22:52,36256.77,19.86,55939.26,686.0,24,29.77,1,0,RENT,car,TX,0
a1658da8-5a72-49ef-ad40-d578a9491f3d,2024-09-26 01:55:43,39108.47,5.81,49186.11,611.0,25,26.72,0,0,RENT,debt_consolidation,OH,0
d149335d-c73a-4ff3-a267-3c8c9ff57240,2024-02-25 20:09:49,1000.0,10.94,8160.73,751.0,5,30.69,0,0,RENT,home_improvement,OH,0
ab8ab9ca-05d8-4f9f-be28-4274d620aee2,2023-08-16 12:07:12,5467.31,10.15,47696.87,844.0,8,19.9,0,0,OWN,major_purchase,IL,0
46d07b71-99c4-4e87-a63b-6f05a99cad41,2022-05-25 18:42:12,26917.61,5.0,21988.18,709.0,11,17.71,2,0,MORTGAGE,credit_card,CA,1
93ec8aff-e095-4057-9230-13b481c8e8dc,2024-11-21 18:48:55,20256.36,16.24,17838.88,642.0,21,23.63,0,1,OWN,major_purchase,CA,1
71c74700-3f80-491c-b2fe-ebe50a9af9d1,2023-07-30 03:34:14,24747.98,10.92,33049.55,528.0,5,13.38,2,0,MORTGAGE,home_improvement,TX,0
8e205d55-ba02-4efa-bd46-0acdcb13cd55,2023-10-17 16:40:10,12204.34,14.96,44599.84,579.0,30,19.04,1,0,MORTGAGE,debt_consolidation,CA,0
b044b60b-bbe2-4d90-bc8a-f2c94d5cdb0d,2022-01-30 21:16:16,38190.97,21.44,15988.62,773.0,4,16.59,0,0,MORTGAGE,car,PA,0
24102a04-9a75-4739-bc30-2a7229eb5ed3,2024-01-07 11:58:53,36666.88,10.59,51652.21,618.0,37,6.31,1,0,MORTGAGE,car,FL,0
dd55086b-7040-4f17-bc1d-f71c35b80af3,2024-07-03 13:45:07,25990.46,10.32,53192.33,658.0,27,19.02,0,0,MORTGAGE,home_improvement,NY,0
c5c8feaa-2b59-47c2-afa5-43f88c8ac67b,2024-05-16 10:50:20,41908.62,12.47,37178.58,719.0,13,14.47,1,0,MORTGAGE,debt_consolidation,PA,0
0d1701e1-01ff-4a00-8953-82517de40ccd,2023-02-17 17:32:25,32012.64,15.95,23533.69,769.0,14,16.06,0,0,RENT,debt_consolidation,GA,0
53056bd0-6b4f-4025-afad-b41efd6325c8,2022-08-07 16:44:08,12110.61,9.73,22254.76,668.0,27,20.91,0,0,RENT,car,TX,0
fa5720fc-5a18-4303-948f-fca4b703d9e9,2023-05-01 08:16:13,30531.26,9.48,60655.53,656.0,3,28.18,2,1,MORTGAGE,car,OH,1
aa8932c4-5233-41bc-897f-5331cad192c2,2023-09-06 09:50:54,10616.76,16.23,17058.24,684.0,28,11.21,1,1,MORTGAGE,home_improvement,TX,0
d47ca490-fc84-47a1-9e0b-7b84c9b7846c,2022-10-22 14:06:11,38176.75,13.51,61835.64,642.0,22,15.31,0,0,MORTGAGE,car,PA,0
1124a66a-eacb-42e1-8ebd-c9ba6bafab50,2023-11-04 14:50:34,24251.11,5.0,33436.4,646.0,8,11.88,0,1,MORTGAGE,credit_card,FL,0
87644290-cca4-4f78-b54d-77cf19c82cd9,2024-10-09 07:30:12,22227.06,7.1,34616.4,705.0,35,11.36,0,0,MORTGAGE,home_improvement,TX,0
7a46a9cf-332f-4257-801d-773d62c50d40,2022-05-12 13:28:50,14786.06,18.0,15459.15,691.0,25,13.24,0,0,MORTGAGE,debt_consolidation,NC,0
dd4bec65-d920-4ebe-a180-d7987854f2e9,2023-05-14 18:51:00,43338.12,13.61,33746.83,808.0,6,16.43,3,0,MORTGAGE,major_purchase,TX,1
f8f5a4e3-68c0-4e9b-938a-a791bf96f5e1,2022-07-10 00:25:30,22682.06,8.95,49354.92,706.0,26,22.69,0,1,RENT,small_business,GA,0
460f3315-71e6-40d3-badc-5337f08ff8f8,2024-04-23 21:25:39,18575.08,11.32,18616.34,749.0,16,20.56,0,0,OWN,car,FL,0
9e665a8a-3530-4363-80bb-3d55678f3806,2022-03-08 14:03:23,19718.0,12.05,46598.23,616.0,30,9.55,0,1,RENT,small_business,OH,0
